abn,name,category,entity_type,entity_status,sources,state,postcode,registration_date,age_years,gst_registered,gst_effective_from,is_current_entity,acn,main_trading_name,phone,email,business_url,found_at_url,updated_at
72001175355,Fletcher Insulation Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,2145,2000-02-08 00:00:00,26,true,2000-07-01 00:00:00,true,001175355,FLETCHER INSULATION PTY LIMITED,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:17.750015
74082999264,Precision Plating (Aust) Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,2000-02-10 00:00:00,26,true,2000-07-01 00:00:00,true,082999264,PRECISION PLATING (AUST) PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:42.026256
62000020100,Harrington Industries Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2211,2000-02-13 00:00:00,26,true,2000-07-01 00:00:00,true,000020100,G.A. & L. HARRINGTON PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:28.864986
96000286957,Hare & Forbes Machineryhouse,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2152,2000-02-14 00:00:00,26,true,2000-07-01 00:00:00,true,000286957,HARE & FORBES PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:28.467052
73065365031,Food Process Engineering,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,VIC,3095,2000-02-14 00:00:00,26,true,2000-07-01 00:00:00,true,065365031,FOOD PROCESS ENGINEERING PTY. LTD.,"","",http://www.foodpro.com.au/index2.html,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:44:17.372761
80000014639,Hurll Nu-Way Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3150,2000-02-14 00:00:00,26,true,2000-07-01 00:00:00,true,000014639,HURLL NU-WAY PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:23.079244
59081618055,Bottcher Australia,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2164,2000-02-16 00:00:00,26,true,2000-07-01 00:00:00,true,081618055,BOTTCHER AUSTRALIA PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:49.598955
79007035369,John Berends Implements Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,2000-02-16 00:00:00,26,true,2000-07-01 00:00:00,true,007035369,JOHN BERENDS IMPLEMENTS PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:27.728896
25004607514,Delahenty Machinery Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3180,2000-02-17 00:00:00,26,true,2000-07-01 00:00:00,true,004607514,DELAHENTY MACHINERY PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:07.523441
79003244942,Machine Technology,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2217,2000-02-21 00:00:00,25,true,2000-07-01 00:00:00,true,003244942,MACHINE TECHNOLOGY PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:51.247137
76004519064,M Brodribb Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3146,2000-02-21 00:00:00,25,true,2000-07-01 00:00:00,true,004519064,M. BRODRIBB PTY. LIMITED,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:31.097369
25006630084,Williams Refrigeration Australia Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,2000-02-21 00:00:00,25,true,2000-07-01 00:00:00,true,006630084,WILLIAMS REFRIGERATION AUSTRALIA PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:58.903037
17000834999,Kennametal Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,4129,2000-02-22 00:00:00,25,true,2000-07-01 00:00:00,true,000834999,KENNAMETAL AUSTRALIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:43.077445
15010788217,Spitwater,Manufacturing,Australian Private Company,Active,SEMMA,VIC,4106,2000-02-22 00:00:00,25,true,2000-07-01 00:00:00,true,010788217,CLEANER MARKETING SERVICES PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:49.047349
65005953168,Flavour Makers,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3195,2000-02-23 00:00:00,25,true,2000-07-01 00:00:00,true,005953168,FLAVOUR MAKERS PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:19.153025
68006732332,Hitachi Global Air Power Australia Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,2000-02-23 00:00:00,25,true,2000-07-01 00:00:00,true,006732332,HITACHI GLOBAL AIR POWER AUSTRALIA PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:21.985624
64056356677,Camco Cutting Tools International Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3043,2000-02-24 00:00:00,25,true,2000-07-01 00:00:00,true,056356677,CAMCO CUTTING TOOLS INTERNATIONAL PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:54.171255
67005573660,Barker Trailers,Manufacturing,Australian Private Company,Active,NorthLink-MfgPartner,VIC,3442,2000-02-24 00:00:00,25,true,2000-07-01 00:00:00,true,005573660,BARKER TRAILERS PTY. LTD.,"","",https://barkertrailers.com.au/,https://northlink.org.au/melbournes-north-advanced-manufacturing-group/partner-directory/,2026-02-19 00:44:39.95024
32060673396,3D Systems Asia-Pacific Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,3153,2000-02-25 00:00:00,25,true,2000-07-01 00:00:00,true,060673396,3D SYSTEMS ASIA-PACIFIC PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:20.292987
14006135940,Ajay Engineering Co.,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3175,2000-02-25 00:00:00,25,true,2000-07-01 00:00:00,true,006135940,KAMHIR PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:27.521684
79004510972,Ronson Gears Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3190,2000-02-25 00:00:00,25,true,2000-07-01 00:00:00,true,004510972,RONSON GEARS PROPRIETARY LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:17.536799
94007441689,Waddell Engineering,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3190,2000-02-25 00:00:00,25,true,2000-07-01 00:00:00,true,007441689,ELITE ENGINEERING AUST PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:34.637585
71064692360,AUTOMATION BY DESIGN,"",Australian Private Company,Active,ABR-Search,VIC,3180,2000-02-25 00:00:00,25,true,2000-07-01 00:00:00,true,064692360,ADAM BROWN ELECTRICAL PTY. LTD.,"","","","",2026-02-19 00:45:01.785657
46003154452,PLATFORM G,"",Australian Private Company,Active,ABR-Search,NSW,2022,2000-02-25 00:00:00,25,true,2000-07-01 00:00:00,true,003154452,THE GORDON MANAGEMENT GROUP PTY LTD,"","","","",2026-02-19 00:46:16.566507
18000008211,Okuma Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3178,2000-02-26 00:00:00,25,true,2000-07-01 00:00:00,true,000008211,OKUMA AUSTRALIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:03.066123
66006029296,CNC Design Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3131,2000-02-29 00:00:00,25,true,2000-07-01 00:00:00,true,006029296,C.N.C. DESIGN PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:00.665079
47001145651,SEI Carbide Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2750,2000-02-29 00:00:00,25,true,2000-07-01 00:00:00,true,001145651,SEI CARBIDE AUSTRALIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:20.392333
83089091298,TLV Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3131,2000-02-29 00:00:00,25,true,2000-07-01 00:00:00,true,089091298,TLV PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:31.865251
59006590174,Amiga Engineering Pty Ltd,Manufacturing,Australian Private Company,Active,"AMTIL,NorthLink-MfgPartner,SEMMA",VIC,3043,2000-03-01 00:00:00,25,true,2000-07-01 00:00:00,true,006590174,AMIGA ENGINEERING PTY. LTD.,"","",https://amigaeng.com.au/,https://amtil.com.au/directory/,2026-02-19 01:03:01.533035
50004436711,Hardman Bros Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3172,2000-03-01 00:00:00,25,true,2000-07-01 00:00:00,true,004436711,HARDMAN BROS. PROPRIETARY LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:28.167088
48006132458,Australian Precision Technologies Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3806,2000-03-01 00:00:00,25,true,2000-07-01 00:00:00,true,006132458,AUSTRALIAN PRECISION TECHNOLOGIES PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:56:54.035787
62089337833,R&I Instrument & Gear Co (Aust) Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3172,2000-03-01 00:00:00,25,true,2000-07-01 00:00:00,true,089337833,R. & I. INSTRUMENT & GEAR CO. (AUST) PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:42.8892
50006867607,Exquisine,Manufacturing,Australian Private Company,Active,NorthLink-FoodMfg,VIC,3071,2000-03-02 00:00:00,25,true,2000-07-01 00:00:00,true,006867607,EXQUISINE PTY. LTD.,"","",http://exquisine.com.au/,https://northlink.org.au/melbournes-north-food-group/manufacturer-directory/,2026-02-19 00:43:50.320265
76005771399,Lepol Metal Work,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,2000-03-03 00:00:00,25,true,2000-07-01 00:00:00,true,005771399,LEPOL METAL WORK PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:30.431123
20004703002,FL Smidth Abon Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,4008,2000-03-04 00:00:00,25,true,2000-07-01 00:00:00,true,004703002,FLSMIDTH ABON PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:18.932298
66004442442,Moss Products Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3175,2000-03-04 00:00:00,25,true,2000-07-01 00:00:00,true,004442442,MOSS PRODUCTS PROPRIETARY LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:58.155205
39002367106,Superior Saws Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2164,2000-03-04 00:00:00,25,true,2000-07-01 00:00:00,true,002367106,SUPERIOR SAWS PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:25.809089
39006418300,Corex Plastics Australia Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,2000-03-04 00:00:00,25,true,2000-07-01 00:00:00,true,006418300,COREX PLASTICS (AUSTRALIA) PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:05.638418
71052989107,Extel Technologies Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3149,2000-03-04 00:00:00,25,true,2000-07-01 00:00:00,true,052989107,EXTEL TECHNOLOGIES PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:14.406487
47082164314,Refined Tooling,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3201,2000-03-04 00:00:00,25,true,2000-07-01 00:00:00,true,082164314,REFINED INDUSTRIES PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:43.506241
48007314632,ABSS,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3033,2000-03-06 00:00:00,25,true,2000-07-01 00:00:00,true,007314632,ABRASIVE BLASTING SERVICE & SUPPLIES PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:22.173916
12004175731,Sutton Tools,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3074,2000-03-06 00:00:00,25,true,2000-07-01 00:00:00,true,004175731,SUTTON TOOLS PROPRIETARY LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:26.912781
14083762387,Amada Oceania Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2153,2000-03-07 00:00:00,25,true,2000-07-01 00:00:00,true,083762387,AMADA OCEANIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:30.975435
65009205243,SIMULATION MODELLING SERVICES PTY. LTD.,"",Australian Private Company,Active,ABR-Search,NSW,2302,2000-03-07 00:00:00,25,true,2000-07-01 00:00:00,true,009205243,SIMULATION MODELLING SERVICES PTY. LTD.,"","","","",2026-02-19 00:45:48.602375
13007020439,Camplex Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3121,2000-03-08 00:00:00,25,true,2000-07-01 00:00:00,true,007020439,CAMPLEX PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:57.675072
58003931744,Fantid Pty Ltd (Hasmot),Manufacturing,Australian Private Company,Active,AMTIL,NSW,2481,2000-03-08 00:00:00,25,true,2000-07-01 00:00:00,true,003931744,FINTIDE PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:16.857936
40005377588,SYSTOM PTY. LIMITED,"",Australian Private Company,Active,ABR-Search,VIC,3444,2000-03-08 00:00:00,25,true,2000-07-01 00:00:00,true,005377588,SYSTOM PTY. LIMITED,"","","","",2026-02-19 00:46:08.5945
74053177898,Consep Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2164,2000-03-09 00:00:00,25,true,2000-07-01 00:00:00,true,053177898,CONSEP PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:05.01343
